from,to,line,7_in,7_out,8_in,8_out
신목동,선유도,9,19147,10271,20720,36180
선유도,당산,9,107781,49136,138130,141717
당산,국회의사당,9,4353,44885,7195,146410
국회의사당,여의도,9,21355,246417,29358,401281
여의도,샛강,9,5030,12458,6397,26902
샛강,노량진,9,87701,82657,135729,123623
노량진,노들,9,18474,3166,21012,4789
노들,흑석(중앙대입구),9,19263,12400,24857,28905
흑석(중앙대입구),동작(현충원),9,11244,6071,15561,12656
동작(현충원),구반포,9,5035,3439,6758,6829
구반포,신반포,9,6008,7377,8673,8843
신반포,고속터미널,9,58586,128065,102393,195138
고속터미널,사평,9,10129,4607,12140,6960
사평,신논현,9,35004,48169,49163,107845
신논현,언주,9,6918,14754,10038,46297
언주,선정릉,9,15424,28280,20209,105968
선정릉,삼성중앙,9,5700,8993,6788,37374
삼성중앙,봉은사,9,10903,35958,11299,103144
봉은사,종합운동장,9,31725,41622,44586,60511
종합운동장,삼전,9,16861,3068,26030,7833
삼전,석촌고분,9,13991,3640,21779,8664
석촌고분,석촌,9,40829,13103,54796,32760
석촌,송파나루,9,9913,2551,13139,7755
송파나루,한성백제,9,6306,1557,7938,5604
한성백제,올림픽공원(한국체대),9,28256,14273,31423,31776
올림픽공원(한국체대),둔촌오륜,9,2869,4529,3470,2245
둔촌오륜,중앙보훈병원,9,32323,11305,32245,16880
서울역,공덕,인천국제공항철도,57816,76236,83563,240009
공덕,홍대입구,인천국제공항철도,90784,55467,121226,155899
홍대입구,디지털미디어시티,인천국제공항철도,76169,58443,85285,178752
디지털미디어시티,마곡나루,인천국제공항철도,39428,26637,43429,73742
마곡나루,김포공항,인천국제공항철도,27136,63092,39285,69762
김포공항,계양,인천국제공항철도,64446,4308,52569,7276
계양,검암,인천국제공항철도,46253,8851,33479,16804
검암,청라국제도시,인천국제공항철도,36942,8261,23382,19354
청라국제도시,영종,인천국제공항철도,11859,2684,9149,3854
영종,운서,인천국제공항철도,21162,10600,20689,16026
운서,공항화물청사,인천국제공항철도,2173,15696,2680,27336
공항화물청사,인천공항1터미널,인천국제공항철도,22310,38326,22777,43518
인천공항1터미널,인천공항2터미널,인천국제공항철도,7988,16048,8190,14286
임진강,문산,경의·중앙선,20547,8266,21741,16117
문산,파주,경의·중앙선,3516,2769,4465,10021
파주,월롱,경의·중앙선,2672,10091,3071,16835
월롱,금촌,경의·중앙선,24154,12112,25275,19018
금촌,금릉,경의·중앙선,20004,5477,16739,10913
금릉,운정,경의·중앙선,33559,6102,30349,9541
운정,야당,경의·중앙선,25416,4757,23655,8441
야당,탄현,경의·중앙선,46804,7037,32785,11274
탄현,일산,경의·중앙선,56273,7920,39988,20119
일산,풍산,경의·중앙선,27240,4472,22657,8125
풍산,백마,경의·중앙선,40537,7877,31868,13683
백마,곡산,경의·중앙선,2146,1671,1753,2978
곡산,대곡,경의·중앙선,7072,2006,7373,4073
대곡,능곡,경의·중앙선,18624,3002,19161,6793
능곡,행신,경의·중앙선,45435,5795,39984,11579
행신,강매,경의·중앙선,20757,1319,18244,3783
강매,화전,경의·중앙선,4283,2542,6442,10680
화전,수색,경의·중앙선,2754,5118,3426,17791
수색,디지털미디어시티,경의·중앙선,76169,58443,85285,178752
디지털미디어시티,가좌,경의·중앙선,22515,4064,26905,9218
가좌,홍대입구,경의·중앙선,90784,55467,121226,155899
홍대입구,서강대,경의·중앙선,3452,4599,4072,9922
서강대,공덕,경의·중앙선,57816,76236,83563,240009
공덕,효창공원앞,경의·중앙선,22786,13163,36831,44284
효창공원앞,용산,경의·중앙선,25499,89914,37689,174800
용산,이촌(국립중앙박물관),경의·중앙선,25428,20731,34767,39755
이촌(국립중앙박물관),서빙고,경의·중앙선,3554,4796,4586,8851
서빙고,한남,경의·중앙선,6040,10812,8019,16135
한남,옥수,경의·중앙선,28232,9258,40603,18205
옥수,응봉,경의·중앙선,8421,1889,9641,2923
응봉,왕십리(성동구청),경의·중앙선,68648,34454,117540,83485
왕십리(성동구청),청량리(서울시립대입구),경의·중앙선,81179,40220,100983,74031
청량리(서울시립대입구),회기,경의·중앙선,65305,33969,83479,78061
회기,중랑,경의·중앙선,26298,4088,25029,7296
중랑,삼봉,경의·중앙선,,,,
삼봉,망우,경의·중앙선,34749,6252,30093,17515
망우,양원,경의·중앙선,6662,10915,4660,6964
양원,구리,경의·중앙선,67934,13654,57326,23766
구리,도농,경의·중앙선,58035,9942,51426,15879
도농,양정,경의·중앙선,2857,2418,2356,4300
양정,덕소,경의·중앙선,29960,4510,30788,8512
