from,to,line,am7,am8,pm5,pm6,pm7,pm8
임진강,문산,경의·중앙선,6994,-1092,1143,-303,-5812,-4541
문산,파주,경의·중앙선,-294,-240,2420,1919,-321,-422
파주,월롱,경의·중앙선,-7174,-7549,5342,8077,1324,259
월롱,금촌,경의·중앙선,7684,-341,-833,-1411,-6294,-3326
금촌,금릉,경의·중앙선,10253,1896,-1667,-3547,-8132,-3001
금릉,운정,경의·중앙선,18125,12112,-4003,-10641,-14845,-7084
운정,야당,경의·중앙선,17332,11135,-6358,-11582,-13573,-4442
야당,탄현,경의·중앙선,24797,13452,-6877,-15061,-22794,-8860
탄현,일산,경의·중앙선,31998,15653,-5456,-20453,-25250,-9818
일산,풍산,경의·중앙선,15961,9136,-2048,-9289,-9574,-5931
풍산,백마,경의·중앙선,22176,10069,-1628,-13777,-18644,-8193
백마,곡산,경의·중앙선,150,-639,268,220,-580,-212
곡산,대곡,경의·중앙선,4157,2305,955,-142,-1339,-593
대곡,능곡,경의·중앙선,10325,8893,-1984,-6323,-6508,-3294
능곡,행신,경의·중앙선,26684,18526,-3615,-24932,-20520,-5774
행신,강매,경의·중앙선,13618,11123,-3298,-6982,-9049,-4673
강매,화전,경의·중앙선,1055,-917,1612,598,-340,-377
화전,수색,경의·중앙선,-984,-9329,4076,7436,1921,705
수색,디지털미디어시티,경의·중앙선,10963,-71032,29068,57049,-1426,-465
디지털미디어시티,가좌,경의·중앙선,11691,11465,-2904,-7943,-8229,-3361
가좌,홍대입구,경의·중앙선,21027,-31646,22358,25245,31277,79570
